id,make,model,year,trim,price,mileage,condition,color,category,features,status
17,Ford,Mustang Mach-E,2023,Select AWD,42800,6500,Certified Pre-Owned,Grabber Blue,ev,"Extended range battery, 13.2-inch touchscreen, BlueCruise, 346 hp, heated front seats",Available
18,Chevrolet,Bolt EUV,2023,Premier,28500,11200,Certified Pre-Owned,Silver Flare Metallic,ev,"65 kWh battery, Super Cruise, 10.2-inch touchscreen, heated/ventilated seats, Bose audio",Sold
19,BMW,X3,2024,xDrive30i,51200,150,Certified Pre-Owned,Phytonic Blue,suv,"2.0L turbo, 12.3-inch curved display, Vernasca leather, panoramic roof, parking assistant",Available
20,Kia,Sportage,2024,X-Line,34900,20,New,Dawning Red,suv,"2.5L engine, dual 12.3-inch curved displays, AWD, synthetic leather, Harman Kardon audio",Available
21,Nissan,Rogue,2023,SL,35600,14300,Certified Pre-Owned,Everest White,suv,"1.5L VC-Turbo, ProPILOT Assist, quilted leather, 12.3-inch display, 360-degree camera",Available
22,Subaru,Crosstrek,2024,Premium,30200,25,New,Oasis Turquoise,suv,"2.0L Boxer, EyeSight, 11.6-inch touchscreen, X-MODE, roof rails, all-weather package",Available
23,Jeep,Wrangler,2023,Sahara 4xe,52800,7800,Certified Pre-Owned,Sarge Green,suv,"2.0L turbo plug-in hybrid, Sky One-Touch power top, 12.3-inch display, LED lighting, Dana 44 axles",Available
24,Toyota,Tacoma,2024,TRD Off-Road,41200,55,New,Lunar Rock,truck,"2.4L turbo, Multi-Terrain Select, crawl control, TRD suspension, 14-inch touchscreen",Available
25,Honda,Accord,2024,EX-L,34600,30,New,Canyon River Blue,sedan,"1.5L turbo, 12.3-inch touchscreen, wireless CarPlay, leather, Honda Sensing, 10-way power seat",Available
26,Ford,Explorer,2024,XLT,43500,60,New,Star White Metallic,suv,"2.3L EcoBoost, 13.2-inch touchscreen, SYNC 4, BlueCruise, 3rd row seating, panoramic roof",Available
27,Hyundai,Palisade,2024,Calligraphy,52300,40,New,Hyper White,suv,"3.8L V6, Nappa leather, premium Harman Kardon audio, highway driving assist, heads-up display",Reserved
28,Kia,EV6,2023,GT-Line AWD,53900,3200,Certified Pre-Owned,Runway Red,ev,"77.4 kWh battery, 310-mile range, dual motor AWD, 14.1-inch dual displays, augmented reality HUD",Available
29,Nissan,Frontier,2024,PRO-4X,40800,100,Certified Pre-Owned,Tactical Green Metallic,truck,"3.8L V6, Bilstein off-road shocks, electronic locking diff, 9-inch touchscreen, 360 camera",Available
30,Toyota,Highlander Hybrid,2024,XLE,44100,20,New,Cypress Green,suv,"2.5L hybrid, AWD, 12.3-inch touchscreen, Toyota Safety Sense 3.0, 3rd row, JBL audio",Available
